x,y,dcx,dcy,dc,adv,vdc
775.0,50.0,-0.0007999999999999119,0.00039999999999906777,-0.0015999999999998238,-0.001593505677369772,6.4943226300515444e-06
800.0,50.0,0.0,0.0007999999999999119,-0.0011999999999989797,-0.0012032199634023101,-3.2199634033304204e-06
825.0,50.0,-0.00039999999999906777,0.0007999999999999119,0.0,8.336073289887681e-07,8.336073289887681e-07
850.0,50.0,-0.0007999999999999119,0.0,0.0007999999999999119,0.0008081073241916814,8.107324191769479e-06
875.0,50.0,0.0007999999999999119,0.0007999999999999119,-0.0007999999999999119,-0.0008113309881714022,-1.1330988171490276e-05
900.0,50.0,0.0,0.0007999999999999119,-0.0004000000000008441,-0.00040321974273476314,-3.2197427339190263e-06
925.0,50.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
950.0,50.0,0.0007999999999999119,-0.00039999999999906777,-0.002000000000000668,-0.0020064942972381162,-6.49429723744827e-06
975.0,50.0,-0.0004000000000008441,-0.0004000000000008441,-0.0011999999999989797,-0.0011943378810058325,5.6621189931472534e-06
1000.0,50.0,-0.0007999999999999119,0.0,0.0,8.098621548931346e-06,8.098621548931346e-06
1025.0,50.0,0.0,-0.0004000000000008441,-0.00039999999999906777,-0.000398390124132997,1.6098758660707649e-06
1050.0,50.0,0.0,-0.0004000000000008441,-0.0007999999999999119,-0.0007983902379358746,1.6097620640373233e-06
1075.0,50.0,-0.00039999999999906777,0.0,-0.0004000000000008441,-0.0003959479761291528,4.052023871691327e-06
1100.0,50.0,-0.0004000000000008441,0.0,0.0,4.0520233162666026e-06,4.0520233162666026e-06
1125.0,50.0,0.0,0.0,0.0,0.0,-0.0
1150.0,50.0,0.0004000000000008441,0.0,-0.0004000000000008441,-0.0004040520224332401,-4.05202243239598e-06
1175.0,50.0,0.00039999999999906777,0.0,-0.0007999999999999119,-0.0008040520220988618,-4.052022098949856e-06
1200.0,50.0,-0.00039999999999906777,0.0,-0.0004000000000008441,-0.00039594797816057766,4.052021840266447e-06
1225.0,50.0,-0.0004000000000008441,0.0,0.0,4.05202166299195e-06,4.05202166299195e-06
1250.0,50.0,0.0,0.0,0.0,0.0,-0.0
25.0,75.0,-0.0004000000000008441,0.0,0.0,4.0520644817140834e-06,4.0520644817140834e-06
50.0,75.0,0.0,-0.0004000000000008441,0.0,1.6097258949093277e-06,1.6097258949093277e-06
75.0,75.0,0.0004000000000008441,0.0,-0.0004000000000008441,-0.0004040520643763377,-4.052064375493594e-06
100.0,75.0,0.0,0.0004000000000008441,-0.0004000000000008441,-0.0004016097262897566,-1.6097262889124756e-06
125.0,75.0,-0.0004000000000008441,0.0,0.0004000000000008441,0.00040405206411156676,4.052064110722663e-06
150.0,75.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
175.0,75.0,0.0,0.0,0.0004000000000008441,0.0004000000000008441,-0.0
200.0,75.0,0.0,0.0,0.0007999999999999119,0.0007999999999999119,-0.0
225.0,75.0,0.0004000000000008441,0.0,0.00039999999999906777,0.00039594603643198497,-4.053963567082779e-06
250.0,75.0,0.0,0.0,0.0,0.0,-0.0
275.0,75.0,0.0,0.0004000000000008441,0.0,-1.6098063352795277e-06,-1.6098063352795277e-06
300.0,75.0,0.0,0.0004000000000008441,0.0,-1.6098071130305395e-06,-1.6098071130305395e-06
325.0,75.0,0.0,0.0,-0.0004000000000008441,-0.0004000000000008441,-0.0
350.0,75.0,0.00039999999999906777,0.00039999999999906777,-0.00039999999999906777,-0.00040565837501592346,-5.6583750168556785e-06
375.0,75.0,0.0,0.0007999999999999119,0.0,-3.2219105691065408e-06,-3.2219105691065408e-06
400.0,75.0,-0.00039999999999906777,0.0,0.0,4.053596024677796e-06,4.053596024677796e-06
425.0,75.0,0.00039999999999906777,0.00039999999999906777,-0.00039999999999906777,-0.00040566271664135037,-5.662716642282571e-06
450.0,75.0,0.0,0.0007999999999999119,0.0004000000000008441,0.0003967802978078191,-3.219702193024998e-06
475.0,75.0,-0.0007999999999999119,0.0,0.0007999999999999119,0.0008081041079056831,8.104107905771192e-06
