X,Y,CA,CV
526.5,76.5,-0.031255763375888576,-0.014877455764965929
551.5,76.5,0.010990942211484188,0.03012521699560432
576.5,76.5,0.049443489919370386,0.07463840008461332
601.5,76.5,0.08945456976018594,0.11867475672266142
626.5,76.5,0.11985563221263477,0.1536825679184413
26.5,101.5,0.5767725781438171,0.6645429153297947
51.5,101.5,0.560153994354883,0.6606263714348336
76.5,101.5,0.5012469229003697,0.6098489897833145
101.5,101.5,0.4171073908216602,0.5309835780308758
126.5,101.5,0.33725845121607706,0.4438686586714403
151.5,101.5,0.2645867784975302,0.35917658744913955
176.5,101.5,0.19786922836810172,0.2799501458367475
201.5,101.5,0.14491213703316153,0.20679220187632716
226.5,101.5,0.10906688390144337,0.1415239819999792
251.5,101.5,0.0776992574942071,0.08327014911380559
276.5,101.5,0.04057713735744603,0.03138674363602347
301.5,101.5,0.005927965684013405,-0.01517967215221096
326.5,101.5,-0.022918858917493474,-0.053266122582982266
351.5,101.5,-0.03981325007834585,-0.08227831815990168
376.5,101.5,-0.05520544255324604,-0.10930055173795786
401.5,101.5,-0.07692743210281325,-0.13354026632644792
426.5,101.5,-0.10181925858549398,-0.15376285488704225
451.5,101.5,-0.11218251029006757,-0.15724038559678843
476.5,101.5,-0.09911682585140551,-0.13419309509905497
501.5,101.5,-0.06387628455583463,-0.0873251162206357
526.5,101.5,-0.01930300622610076,-0.03253939462255515
551.5,101.5,0.02471524553437896,0.02050172725896127
576.5,101.5,0.0612258790048312,0.07415443357551314
601.5,101.5,0.0957717666662463,0.12403559661176967
626.5,101.5,0.12182526541484653,0.1629804809746473
26.5,126.5,0.4401329238256859,0.5098652349874486
51.5,126.5,0.4284487340240614,0.5211177575180697
76.5,126.5,0.3912423507629059,0.4957702566499336
101.5,126.5,0.3338228871918692,0.4425037149003225
126.5,126.5,0.27920458783456475,0.37882296390841
151.5,126.5,0.22879571505121135,0.31435757261026126
176.5,126.5,0.18077134255243565,0.25246894680209075
201.5,126.5,0.13882847361295,0.19288952950068483
226.5,126.5,0.10890847469738278,0.13669654925427718
251.5,126.5,0.08211454065170894,0.08573283454551238
276.5,126.5,0.05230853781135939,0.037580525504371146
301.5,126.5,0.013227440979121076,-0.008831952643786096
