n,d,segment
42436.0,7.199969583341208,3
51529.0,7.994521426871566,3
62500.0,9.325589624406138,3
75625.0,10.402570999660277,3
91809.0,11.555936336775758,3
110889.0,12.686206715881584,3
133956.0,14.238363947789624,3
162409.0,16.32245221161408,3
197136.0,19.532634569279157,3
238144.0,22.763619550151642,3
288369.0,25.49562398825723,3
25.0,0.1098161262343619,4
36.0,0.13348155088381866,4
49.0,0.1577653182917479,4
64.0,0.18311609690573416,4
81.0,0.20588284010975805,4
100.0,0.23010387479144429,4
121.0,0.25159285766066014,4
144.0,0.28234977711576376,4
196.0,0.3418289457384294,4
225.0,0.3663064641475438,4
289.0,0.42036668671323496,4
361.0,0.47256387365165486,4
400.0,0.5043549176013201,4
529.0,0.6088660636034641,4
625.0,0.6792054495128913,4
729.0,0.747255617313935,4
900.0,0.8727432412246416,4
1089.0,0.9793807526549202,4
1369.0,1.1815246605279308,4
1600.0,1.3035036468570655,4
1936.0,1.4012883934396414,4
2401.0,1.5622089588376866,4
2916.0,1.7344962932162196,4
3481.0,1.9946684925937714,4
4225.0,2.2394578270078367,4
5184.0,2.4896302208830288,4
6241.0,2.7269448490422157,4
7569.0,2.93303260310175,4
9216.0,3.224534849310552,4
11236.0,3.584003443854782,4
13456.0,4.059532222829975,4
16384.0,4.5585197934281085,4
19881.0,5.21868192964452,4
24025.0,5.729717455913532,4
28900.0,6.54762116236823,4
35344.0,7.340495396087162,4
42436.0,7.894881370264099,4
51529.0,8.650933177449144,4
62500.0,9.997178188792999,4
75625.0,11.126468453489535,4
91809.0,12.874405450912528,4
110889.0,14.394660814968006,4
133956.0,16.335941706154003,4
162409.0,17.889403449548468,4
197136.0,20.428775076800765,4
238144.0,22.801767722585456,4
288369.0,26.821015524893294,4
25.0,0.12028986615119146,5
36.0,0.15043525604666977,5
49.0,0.18029183898428813,5
64.0,0.21180395141137165,5
81.0,0.24901825865790753,5
100.0,0.2861821836526864,5
121.0,0.31988007297831306,5
144.0,0.35214925679021847,5
196.0,0.4013456753221491,5
225.0,0.43242827683536605,5
289.0,0.4963746791010032,5
361.0,0.5734344465878045,5
400.0,0.6093507042733219,5
529.0,0.7410361438252713,5
625.0,0.8212574976478245,5
729.0,0.8995984390917101,5
900.0,1.0372083221023662,5
1089.0,1.1098182439215574,5
1369.0,1.2550752651532626,5
1600.0,1.3979277765097877,5
1936.0,1.5555987655524555,5
2401.0,1.8179463424671383,5
2916.0,1.973558846999204,5
3481.0,2.1565866686286648,5
4225.0,2.4126884637871937,5
5184.0,2.6903540184287773,5
6241.0,2.908678846422625,5
7569.0,3.1760123350914826,5
9216.0,3.6179719571556546,5
11236.0,4.134822886433346,5
13456.0,4.666319771821292,5
16384.0,5.236486810549616,5
19881.0,5.905423226374834,5
24025.0,6.736024455036933,5
28900.0,7.2658699774020175,5
35344.0,8.347065881766724,5
42436.0,9.457753993953997,5
51529.0,10.900215972826754,5
62500.0,11.709545132642202,5
75625.0,12.799057079649598,5
91809.0,15.279189881259095,5
110889.0,16.545127358782434,5
133956.0,18.626546022694413,5
162409.0,21.122623525654696,5
197136.0,22.4228518833379,5
238144.0,25.757962893602663,5
288369.0,31.04773319083609,5
25.0,0.133747286271206,6
36.0,0.1688685644827447,6
49.0,0.20107352223269345,6
64.0,0.2331722052490314,6
81.0,0.26020277315331736,6
100.0,0.29261108954317017,6
121.0,0.3378038580362506,6
144.0,0.3906387073966774,6
196.0,0.48804172404447776,6
225.0,0.5353102008216541,6
289.0,0.6206204779336899,6
361.0,0.6937829276172207,6
400.0,0.7358282011750551,6
529.0,0.8423992912058245,6
625.0,0.9389127696404586,6
729.0,1.0365722262498682,6
900.0,1.2013202832847718,6
1089.0,1.4153588261128058,6
1369.0,1.5915785503829107,6
1600.0,1.7317356821298606,6
1936.0,1.8779068874612705,6
2401.0,2.101623715191462,6
2916.0,2.2820350962979203,6
3481.0,2.528913189677684,6
4225.0,2.9021716951298755,6
5184.0,3.2196042812217445,6
6241.0,3.5884751738877316,6
7569.0,3.861724858503763,6
9216.0,4.121642391524336,6
11236.0,4.519643164703435,6
13456.0,5.1293308283146875,6
16384.0,6.058725576258938,6
19881.0,6.90751579327503,6
24025.0,7.536998661291068,6
28900.0,8.384257388401355,6
35344.0,9.118274379134624,6
42436.0,9.819312552269086,6
51529.0,10.738274119935953,6
62500.0,12.242157134049782,6
75625.0,14.07754976658766,6
91809.0,15.910243938105504,6
110889.0,17.30851680892385,6
133956.0,18.203178553518608,6
162409.0,20.013653173688848,6
197136.0,21.243781998286853,6
238144.0,24.62873410794788,6
288369.0,29.75125807257209,6
25.0,0.14665540765804225,7
36.0,0.17488966182184335,7
49.0,0.20599057534019646,7
64.0,0.24017015097670003,7
81.0,0.2722622121029411,7
100.0,0.30940127323683453,7
121.0,0.3533885903536654,7
144.0,0.3955703513117615,7
196.0,0.48619346883409226,7
225.0,0.5296202982425772,7
289.0,0.6227651794343415,7
361.0,0.7204703824225602,7
400.0,0.7638948122001242,7
529.0,0.9053794441999413,7
625.0,1.0252062433715927,7
729.0,1.1556447247644124,7
900.0,1.3039218995970434,7
1089.0,1.4217860746175848,7
1369.0,1.5520888155977348,7
1600.0,1.690782544546023,7
1936.0,1.9226528766932547,7
2401.0,2.1669473151292085,7
2916.0,2.3912354007504133,7
3481.0,2.6682688195149926,7
4225.0,2.954419887020005,7
5184.0,3.248855130434614,7
6241.0,3.566267138528355,7
7569.0,4.297662327709805,7
9216.0,4.846029315357911,7
11236.0,5.483446149696623,7
13456.0,6.212468201112801,7
16384.0,7.248347151742722,7
19881.0,8.413557500612834,7
24025.0,9.566498661802045,7
28900.0,10.798099000717723,7
35344.0,11.616811950842493,7
42436.0,12.714400425744087,7
51529.0,14.27151455185278,7
62500.0,15.918158945689044,7
75625.0,17.277544092951693,7
91809.0,19.3671450815531,7
110889.0,18.35326181830377,7
133956.0,22.240756582934093,7
162409.0,26.85085449385777,7
197136.0,30.850330295262932,7
238144.0,34.438583278432915,7
288369.0,37.903495747981104,7
25.0,0.1624233968502554,8
36.0,0.20340195957711452,8
49.0,0.24973597656297875,8
64.0,0.2949448914262521,8
81.0,0.33045063217691517,8
100.0,0.36285766485203536,8
121.0,0.403032696340153,8
144.0,0.44932067421250904,8
196.0,0.5464945719511314,8
225.0,0.581240411006058,8
289.0,0.6754921821230054,8
361.0,0.8083184658681852,8
400.0,0.8562729004502541,8
529.0,0.9999703805494372,8
625.0,1.1000449499989349,8
729.0,1.2034515958272691,8
900.0,1.4013456806530484,8
1089.0,1.6564345055374872,8
1369.0,1.8906546015954604,8
1600.0,2.072873577327583,8
1936.0,2.33351147349681,8
2401.0,2.6525725180582755,8
2916.0,3.1712486760577967,8
3481.0,3.6944957121807263,8
4225.0,4.025659608103308,8
5184.0,4.304543934816865,8
6241.0,4.786142634685889,8
7569.0,5.287170361757512,8
9216.0,6.123994542788617,8
11236.0,7.278404488174539,8
13456.0,8.027673725487166,8
16384.0,8.713134877517902,8
19881.0,9.83701635139727,8
24025.0,10.712313403809917,8
28900.0,11.616375330958741,8
35344.0,12.303586906626682,8
42436.0,13.383167263428792,8
51529.0,14.63450473612357,8
